ingredient_id,ingredient_name,norm_name
2286,"TJ's Baby Swiss Cheese, divided",baby swiss cheese
2287,TJ's Sea Salt Crystals,sea salt crystals
2288,TJ's Black Peppercorns,black peppercorns
2289,TJ's Everyday Seasoning,everyday seasoning
2290,TJ's Shallots,shallots
2291,TJ's Large Brown Eggs,brown eggs
2292,"TJ's Frozen Chopped Spinach, defrosted and water squeezed out",frozen chopped spinach
2293,TJ's Organic Tricolor Radiatore Pasta,tricolor radiatore pasta
2294,TJ's Unsweetened Almond Beverage,almond beverage
2295,TJ's Raw Cashews,cashews
2296,TJ's Nutritional Yeast,nutritional yeast
2297,TJ's Turmeric Powder,turmeric powder
2298,TJ's Yellow Mustard,yellow mustard
2299,Cayenne Pepper,cayenne pepper
2300,TJ's Bloody Mary Mixer,bloody mary mixer
2301,TJ's Habanero Hot Sauce,habanero hot sauce
2302,TJ's Simpler Times Lager (or your favorite lager),simpler times lager
2303,Uncured Apple Smoked Bacon,apple smoked bacon
2304,Joe's Butter Croissants,butter croissants
2305,TJ's Speculoos Cookie Butter,speculoos cookie butter
2306,TJ's Butter,butter
2307,"TJ's Organic Midnight Moo Chocolate Flavored Syrup, to taste",midnight moo chocolate flavored syrup
2308,TJ's Chile Lime Seasoning,chile lime
2309,"TJ's Lime (1 for .5 oz juice, 1 for garnish & glass prep)",lime juice
2310,TJ's Margarita Mixer,margarita mixer
2311,Silver Tequila (optional),silver tequila
2312,"TJ's Shaved Brussels Sprouts, lightly sautéed",brussels sprouts
2313,TJ's Multigrain Sliced Bread or TJ's Sprouted Wheat Sourdough Bread,multigrain sliced bread or wheat sourdough bread
2314,"TJ's Sharp Cheddar, shredded",sharp cheddar
2315,"TJ's Uncured Applewood Smoked Bacon, cooked",applewood smoked bacon
2316,"TJ's Peaches, firm with a little give",peaches
2317,TJ's Sliced Roast Chicken Breast with Rib Meat,sliced roast chicken breast with rib meat
2318,TJ's Organic Blueberries,blueberries
2319,TJ's Crumbled Goat Cheese,goat cheese
2320,TJ's Fat Free Balsamic Vinaigrette,fat free balsamic vinaigrette
2321,"TJ's Limes, 1 sliced for garnish",limes
2322,"TJ's Limeade (or TJ's Organic Jalapeño Limeade, if you enjoy a kick!)",limeade or jalapeño limeade
2323,TJ's Reposado Distinqt Tequila (optional),reposado distinqt tequila
2324,TJ's Organic Frozen Mango Chunks,frozen mango chunks
2325,"TJ's Orange, juice only",orange
2326,TJ's Agave Sweetener,agave sweetener
2327,TJ's Cinnamon Raisin Bread,cinnamon raisin bread
2328,"TJ's Camembert, rind removed",camembert
2329,TJ's Apple,apple
2330,TJ's Prosciutto,prosciutto
2331,"TJ's Caved Aged Blue Cheese, crumbled",caved aged blue cheese
2332,TJ's diced Dried Apricots,dried apricots
2333,"TJ's Sweet and Spicy Pecans, chopped",sweet and spicy pecans
2334,TJ's Italian Farfalle,italian farfalle
2335,TJ's Mascarpone,mascarpone
2336,TJ's Genova Pesto,genova pesto
2337,TJ's Roasted & Salted Pecan Halves,roasted & salted pecan halves
2338,TJ's Organic Broccoli Florets (fresh not frozen),broccoli florets
2339,TJ's Raspberry Stars Shortbread Cookies (seasonal),raspberry stars shortbread cookies
2340,"TJ's 72% Dark Chocolate Pound Plus Bar, broken into small pieces",dark chocolate plus bar
2341,TJ's Dry Rubbed Bacon OR TJ's Uncured Fully Cooked Bacon,dry rubbed bacon or uncured fully cooked bacon
2342,TJ's Gluten Free Whole Grain Bread,gluten free whole grain bread
2343,TJ's Fresh Pre-Sliced Mozzarella Cheese Log,pre-sliced mozzarella cheese log
2344,TJ's Organic Baby Lettuce,baby lettuce
2345,TJ's Vodka Of The Gods,vodka gods
2346,"TJ's Lemon, sliced",lemon
2347,"TJ's Celery Stalk, rinsed and trimmed",celery stalk
2348,"TJ's Colossal Olives Hand Stuffed With Garlic Cloves, plus one tablespoon brine from jar (optional)",colossal olives hand stuffed garlic cloves
2349,"TJ's Pound Plus 72% Dark Chocolate Bar, broken into pieces",dark chocolate bar
2350,"TJ's Pumpkin Pie, frozen for 1 hour",pumpkin pie
2351,"Crunchy garnish of your choice: Sea Salt, Sliced Almonds, Sweet & Spicy Pecans, Pistachios, Sunflower Seeds...",crunchy garnish choice sea salt
2352,TJ's Organic Cold Pressed Green Juice Beverage,cold green juice beverage
2353,TJ's Oven Toasted Old Fashioned Organic Oats,toasted old oats
2354,Handful ice cubes,handful ice cubes
2355,TJ's Honey Greek Yogurt (or four 8 oz tubs),honey greek yogurt
2356,"TJ's Strawberries, rinsed",strawberries
2357,TJ's Frozen Organic Blueberries,frozen blueberries
2358,TJ's Organic Mint,mint
2359,You will also need 10 wooden craft sticks and 10 small paper cups to use as molds,wooden craft sticks and small paper cups molds
2360,TJ's Sparkling Cranberry Juice,cranberry juice
2361,TJ's Sparkling Apple Cider,apple cider
2362,"Orange slices, for garnish (optional)",orange slices
2363,TJ's Multi-Floral and Clover Honey,and clover honey
2364,TJ's Sparkling Black Tea with Peach Juice Beverage,black tea with peach juice beverage
2365,TJ's Lemon Slice,lemon slice
2366,TJ's Canola Oil Spray or Coconut Oil Spray,canola oil spray or coconut oil spray
2367,TJ's Mochi Cake Mix,mochi cake mix
2368,water (room temperature),water
2369,TJ's Unsweetened Cocoa Powder,cocoa powder
2370,"TJ's Roma tomatoes, diced",roma tomatoes
2371,TJ's Maple Espresso Black Tea Blend teabags,maple espresso black tea blend teabags
2372,"Your favorite milk or non-dairy beverage, warmed",milk or non-dairy beverage
2373,"TJ's Ridge Cut Potato Chips with Sea Salt, crushed",ridge cut potato chips with sea salt
2374,TJ's Bite-Sized Candy Coated Milk Chocolate Candies or TJ's Candy Coated Milk Chocolate Dipped Peanuts,bite-sized candy coated milk chocolate candies or candy coated milk chocolate dipped peanuts
2375,TJ's Gluten Free Pumpkin Bread & Muffin Baking Mix,gluten free pumpkin bread & muffin baking mix
2376,TJ's Organic Pumpkin,pumpkin
2377,TJ's Organic Chia Seeds,chia seeds
2378,TJ's Super Premium Pumpkin Ice Cream,super premium pumpkin ice cream
2379,TJ's Candied Pecans,candied pecans
2380,TJ's Blondie Bar Baking Mix,blondie bar baking mix
2381,"Joe's Milk Chocolate, roughly chopped",milk chocolate
2382,TJ's Organic Reduced Sugar Raspberry Preserves,sugar raspberry preserves
2383,"TJ's Organic Frozen Mango Chunks, thawed",frozen mango chunks
2384,"TJ's Organic Biscuits, baked and cooled",biscuits
2385,TJ's Organic Reduced Fat Coconut Milk,fat coconut milk
2386,"TJ's Marshmallows, cut in half",marshmallows
2387,"TJ's cookies, for dipping",cookies
2388,TJ's Quick Cook Farro,quick cook farro
2389,TJ's Butter Lettuce,butter lettuce
2390,"TJ's Balsamic Vinaigrette, plus more for serving",balsamic vinaigrette
2391,"TJ's Fire Roasted Red Peppers, sliced",fire roasted red peppers
2392,TJ's Grilled Artichoke Halves,artichoke halves
2393,TJ's Pitted Greek Kalamata Olives,greek kalamata olives
2394,TJ's Pitted Green Olives,green olives
2395,TJ's Ciliegene Whole Milk Fresh Mozzarella,ciliegene whole milk mozzarella
2396,TJ's Salame,salame
2397,TJ's Tofu,tofu
2398,TJ's Coconut Aminos or Soy Sauce,coconut aminos or soy sauce
2399,TJ's Chicken Tikka Masala OR Vegan Tikka Masala,chicken tikka masala or vegan tikka masala
2400,TJ's Flour Tortillas,tortillas
2401,"TJ's Organic Peas, heated according to package directions and drained",peas
2402,TJ’s Organic Mango Chutney,mango chutney
2403,TJ's Plain Yogurt,plain yogurt
2404,"Fresh Cilantro, chopped",cilantro
2405,TJ's Turkey Burgers,turkey burgers
2406,TJ's Broccoli Kale Slaw Complete Salad Kit,broccoli kale slaw complete salad kit
2407,TJ's Gluten Free Hamburger Buns,gluten free hamburger buns
2408,TJ's Ridge Cut Potato Chips (optional),ridge cut potato chips
2409,TJ's Plain Whole Milk Greek Yogurt,plain whole milk greek yogurt
2410,TJ's Organic Apple Cider Vinegar,apple cider vinegar
2411,"TJ's Cilantro, chopped",cilantro
2412,"TJ's Coconut Oil, divided",coconut oil
2413,"TJ's Mango Chunks, thawed",mango chunks
2414,"TJ's Uncooked Wild Argentinian Red Shrimp, thawed",argentinian red shrimp
2415,"TJ's Pepitas or Sunflower Seeds, for garnish",pepitas or seeds
2416,TJ's Korean Inspired Bulgogi Beef Fried Rice with Kimchi,korean inspired bulgogi beef fried rice with kimchi
2417,TJ's Green Onions (green parts only) thinly sliced,green onions
2418,"TJ's Portabella Mushrooms, wiped with a damp cloth, stems removed",portabella mushrooms
2419,TJ's Provolone Cheese,provolone cheese
2420,"TJ's Roasted Red Bell Peppers, thinly sliced",red bell peppers
2421,"TJ's Artisan Rolls, baked according to package directions",artisan rolls
2422,TJ's Organic Baby Lettuce Mix,baby lettuce mix
2423,"TJ's Vegan Kale, Cashew & Basil Pesto",vegan kale
2424,"TJ's Organic Sugar, plus more for sprinkling",sugar
2425,TJ's Frozen Blueberries (do not thaw),frozen blueberries
2426,"TJ's Cultured Butter, for serving (optional, but encouraged)",cultured butter
2427,"TJ's Butternut Squash (seasonally available), peeled, sliced lengthwise and cleaned of seeds and string",butternut squash
2428,TJ's Olive Oil Cooking Spray,extra virgin olive oil spray
2429,TJ's Alfredo Sauce,alfredo sauce
2430,"TJ's Chopped Frozen Spinach, defrosted and squeezed of some water",chopped frozen spinach
2431,TJ's Traditional Ricotta Cheese,traditional ricotta cheese
2432,TJ's Nutmeg (seasonally available),nutmeg
2433,TJ's No Boil Lasagna Noodles,boil lasagna noodles
2434,TJ's Grated Parmigiano Reggiano Cheese,parmigiano reggiano cheese
2435,TJ's Ricotta & Lemon Zest Ravioli (limited),ricotta & lemon zest ravioli
2436,TJ's Organic Italian Dressing,italian dressing
2437,TJ's Lemon Pepper,lemon pepper
2438,TJ's Roasted Not So Salty Cashew Pieces,so salty cashew pieces
2439,"Uncured Apple Smoked Bacon, cooked crispy, drained and chopped into small pieces",apple smoked bacon
2440,"TJ's Cannellini White Kidney Beans, rinsed, drained and pureed until smooth",cannellini white kidney beans
2441,TJ's Whole Milk Ricotta,whole milk ricotta
2442,"TJ's Grated Parmesan, divided",parmesan
2443,TJ's Basil,basil
2444,"TJ's Red Chili Pepper Flakes, or more to taste",red chili pepper flakes
2445,"TJ's Organic Frozen Peas, defrosted and drained",frozen peas
2446,"TJ's Organic Low Sodium Chicken Broth, divided",low sodium chicken broth
2447,TJ's No Boil Italian Lasagna Noodles,boil italian lasagna noodles
2448,"TJ's Sweet OR Hot Italian Sausage, casing removed",sweet or hot italian sausage
2449,TJ's Tomato Basil Marinara,tomato basil marinara
2450,TJ's Whole Milk Ricotta Cheese,whole milk ricotta cheese
2451,"Fresh Basil, shredded, for garnish (optional)",basil
2452,"TJ's Organic Yellow Onion, diced",yellow onion
2453,"TJ's Organic Carrots, diced",carrots
2454,"TJ's Organic Garlic, diced",garlic
2455,TJ's Organic Diced No Salt Added Tomatoes,diced no salt added tomatoes
2456,"sprigs Rosemary, de-stemmed and chopped",sprigs rosemary
2457,"Sage leaves, finely chopped",sage leaves
2458,"TJ's Pasta, cooked",pasta
