title,category,quantity_text,url,image_url,serves,time,name
Crispy Garlic-Adorned Bok Choy,Appetizers & Sides,,https://www.traderjoes.com/home/recipes/crispy-garlic-adorned-bok-choy,https://www.traderjoes.com/content/dam/trjo/context-images/78302-crispy-garlic-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 15 mins,crispy garlic
Unexpected Potato Leek Galette,Appetizers & Sides,1 large,https://www.traderjoes.com/home/recipes/unexpected-potato-leek-galette,https://www.traderjoes.com/content/dam/trjo/context-images/91030-trimmed-leeks-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4-6,Time 2 h 25 mins - 2 h 1 mins,yellow potato
Unexpected Potato Leek Galette,Appetizers & Sides,¼ cup,https://www.traderjoes.com/home/recipes/unexpected-potato-leek-galette,https://www.traderjoes.com/content/dam/trjo/context-images/91030-trimmed-leeks-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4-6,Time 2 h 25 mins - 2 h 1 mins,extra virgin olive oil
Unexpected Potato Leek Galette,Appetizers & Sides,,https://www.traderjoes.com/home/recipes/unexpected-potato-leek-galette,https://www.traderjoes.com/content/dam/trjo/context-images/91030-trimmed-leeks-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4-6,Time 2 h 25 mins - 2 h 1 mins,salute
Unexpected Potato Leek Galette,Appetizers & Sides,,https://www.traderjoes.com/home/recipes/unexpected-potato-leek-galette,https://www.traderjoes.com/content/dam/trjo/context-images/91030-trimmed-leeks-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4-6,Time 2 h 25 mins - 2 h 1 mins,sea salt
Unexpected Potato Leek Galette,Appetizers & Sides,½,https://www.traderjoes.com/home/recipes/unexpected-potato-leek-galette,https://www.traderjoes.com/content/dam/trjo/context-images/91030-trimmed-leeks-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4-6,Time 2 h 25 mins - 2 h 1 mins,leeks
Unexpected Potato Leek Galette,Appetizers & Sides,1,https://www.traderjoes.com/home/recipes/unexpected-potato-leek-galette,https://www.traderjoes.com/content/dam/trjo/context-images/91030-trimmed-leeks-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4-6,Time 2 h 25 mins - 2 h 1 mins,pie crust
Unexpected Potato Leek Galette,Appetizers & Sides,1 bag,https://www.traderjoes.com/home/recipes/unexpected-potato-leek-galette,https://www.traderjoes.com/content/dam/trjo/context-images/91030-trimmed-leeks-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4-6,Time 2 h 25 mins - 2 h 1 mins,cheddar
Unexpected Potato Leek Galette,Appetizers & Sides,1,https://www.traderjoes.com/home/recipes/unexpected-potato-leek-galette,https://www.traderjoes.com/content/dam/trjo/context-images/91030-trimmed-leeks-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4-6,Time 2 h 25 mins - 2 h 1 mins,egg
Inside-Out Apple & Cheddar Hand Pies,Breakfast & Desserts,1 package,https://www.traderjoes.com/home/recipes/inside-out-apple-cheddar-hand-pies,https://www.traderjoes.com/content/dam/trjo/context-images/81698-apple-pie-spread-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 25 mins - 30 mins,crescent rolls
Inside-Out Apple & Cheddar Hand Pies,Breakfast & Desserts,¼ block,https://www.traderjoes.com/home/recipes/inside-out-apple-cheddar-hand-pies,https://www.traderjoes.com/content/dam/trjo/context-images/81698-apple-pie-spread-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 25 mins - 30 mins,new zealand sharp cheddar cheese
Inside-Out Apple & Cheddar Hand Pies,Breakfast & Desserts,½ cup,https://www.traderjoes.com/home/recipes/inside-out-apple-cheddar-hand-pies,https://www.traderjoes.com/content/dam/trjo/context-images/81698-apple-pie-spread-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 25 mins - 30 mins,apple pie spread
Inside-Out Apple & Cheddar Hand Pies,Breakfast & Desserts,,https://www.traderjoes.com/home/recipes/inside-out-apple-cheddar-hand-pies,https://www.traderjoes.com/content/dam/trjo/context-images/81698-apple-pie-spread-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 25 mins - 30 mins,apple chip duo
Inside-Out Apple & Cheddar Hand Pies,Breakfast & Desserts,1 large,https://www.traderjoes.com/home/recipes/inside-out-apple-cheddar-hand-pies,https://www.traderjoes.com/content/dam/trjo/context-images/81698-apple-pie-spread-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 25 mins - 30 mins,egg
Baked Apple Cinnamon French Toast,Breakfast,2 tablespoons,https://www.traderjoes.com/home/recipes/baked-apple-cinnamon-french-toast,https://www.traderjoes.com/content/dam/trjo/context-images/81676-apple-cinn-sourdough-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 8-10,Time 50 mins,butter
