category,product_name,price,unit,url,norm_name
Bakery,Plain Bagels,$2.49,/18 Oz,https://www.traderjoes.com/home/products/pdp/plain-bagels-014589,plain bagels
Bakery,Cinnamon Raisin Bagels,$2.49,/18 Oz,https://www.traderjoes.com/home/products/pdp/cinnamon-raisin-bagels-092172,cinnamon raisin bagels
Bakery,Olive Fougasse,$3.49,/12 Oz,https://www.traderjoes.com/home/products/pdp/olive-fougasse-075006,olive fougasse
Bakery,Pecan Pie,$9.99,/24 Oz,https://www.traderjoes.com/home/products/pdp/pecan-pie-028091,pecan pie
Bakery,Ciabatta Rolls,$1.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/ciabatta-rolls-097438,ciabatta rolls
Bakery,Teeny Tiny Apple Pies,$5.49,/7.76 Oz,https://www.traderjoes.com/home/products/pdp/teeny-tiny-apple-pies-077455,apple pies
Bakery,Apple Cinnamon Buns,$4.49,/8.46 Oz,https://www.traderjoes.com/home/products/pdp/apple-cinnamon-buns-077107,apple cinnamon buns
Bakery,Whole Wheat English Muffins,$1.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/whole-wheat-english-muffins-014627,whole wheat english muffins
Bakery,Gluten Free Multigrain Bread,$4.99,/15.2 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-multigrain-bread-062146,gluten free multigrain bread
Bakery,Gluten Free Madeleine Cookies,$3.49,/6.35 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-madeleine-cookies-074707,gluten free madeleine cookies
Bakery,BREAD CINNAMON RAISIN SLICED,$4.99,/18 Oz,https://www.traderjoes.com/home/products/pdp/bread-cinnamon-raisin-sliced-074781,bread cinnamon raisin sliced
Bakery,Pumpkin Streusel Muffins,$5.99,/14 Oz,https://www.traderjoes.com/home/products/pdp/pumpkin-streusel-muffins-074619,pumpkin streusel muffins
Bakery,Apple Cider Donuts,$4.99,/15.9 Oz,https://www.traderjoes.com/home/products/pdp/apple-cider-donuts-064320,apple cider donuts
Bakery,Cinnamon Coffee Cake,$5.99,/16 Oz,https://www.traderjoes.com/home/products/pdp/cinnamon-coffee-cake-094235,cinnamon coffee cake
Bakery,Gluten Free White Sandwich Bread,$4.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-white-sandwich-bread-054292,gluten free white sandwich bread
Bakery,Classic Hamburger Buns,$2.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/classic-hamburger-buns-095317,classic hamburger buns
Bakery,Brookie,$4.99,/11 Oz,https://www.traderjoes.com/home/products/pdp/brookie-061281,brookie
Bakery,Brioche Hot Dog Buns,$3.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/brioche-hot-dog-buns-066433,brioche hot dog buns
Bakery,Brioche Buns,$3.99,/9.45 Oz,https://www.traderjoes.com/home/products/pdp/brioche-buns-061752,brioche buns
Bakery,Sea Salt Brownie Bites,$2.99,/6 Oz,https://www.traderjoes.com/home/products/pdp/sea-salt-brownie-bites-074143,sea salt brownie bites
Bakery,Gluten Free Double Chocolate Muffins,$5.99,/14 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-double-chocolate-muffins-074110,gluten free double chocolate muffins
Bakery,Gluten Free Almost Everything Bagels,$4.99,/14 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-almost-everything-bagels-063164,gluten free almost everything bagels
Bakery,Gluten Free Cinnamon Coffee Cake Muffins,$5.99,/14 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-cinnamon-coffee-cake-muffins-070524,gluten free cinnamon coffee cake muffins
Bakery,Pumpkin Bagels,$2.99,/18 Oz,https://www.traderjoes.com/home/products/pdp/pumpkin-bagels-056774,pumpkin bagels
Bakery,Pumpkin Blondie Brownies,$4.99,/9 Oz,https://www.traderjoes.com/home/products/pdp/pumpkin-blondie-brownies-069342,pumpkin blondie brownies
Bakery,Holiday Round Challah,$4.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/holiday-round-challah-095377,holiday round challah
Bakery,Gluten Free English Muffins,$4.49,/10.8 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-english-muffins-070453,gluten free english muffins
Bakery,White Sliced Bread,$2.49,/22 Oz,https://www.traderjoes.com/home/products/pdp/white-sliced-bread-060500,white sliced bread
Bakery,Vegan Banana Bread with Walnuts,$5.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/vegan-banana-bread-with-walnuts-063483,vegan banana bread with walnuts
Bakery,Whole Wheat Sliced Bread,$2.49,/22 Oz,https://www.traderjoes.com/home/products/pdp/whole-wheat-sliced-bread-064220,whole wheat sliced bread
Bakery,Organic French Baguette,$1.99,/11.5 Oz,https://www.traderjoes.com/home/products/pdp/organic-french-baguette-053835,french baguette
Bakery,Madeleine Cookies,$2.99,/3.6 Oz,https://www.traderjoes.com/home/products/pdp/madeleine-cookies-035784,madeleine cookies
Bakery,Gluten Free Hamburger Buns,$4.99,/11.08 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-hamburger-buns-062144,gluten free hamburger buns
Bakery,Garlic Indian Style Flatbread,$3.99,/18 Oz,https://www.traderjoes.com/home/products/pdp/garlic-indian-style-flatbread-092427,indian style flatbread
Bakery,Traditional Indian Style Flatbread,$3.49,/18 Oz,https://www.traderjoes.com/home/products/pdp/traditional-indian-style-flatbread-092457,indian style flatbread
Bakery,Focaccia Bread with Roasted Tomato & Parmesan,$4.99,/14 Oz,https://www.traderjoes.com/home/products/pdp/focaccia-bread-with-roasted-tomato-parmesan-064435,focaccia bread with roasted tomato & parmesan
Bakery,Chocolate Chip Pain Au Lait,$3.99,/9.9 Oz,https://www.traderjoes.com/home/products/pdp/chocolate-chip-pain-au-lait-062023,chocolate chip pain au lait
Bakery,Blueberry Muffins,$4.99,/14 Oz,https://www.traderjoes.com/home/products/pdp/blueberry-muffins-064741,blueberry muffins
Bakery,Classic English Muffins,$1.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/classic-english-muffins-014626,classic english muffins
Bakery,Sweet Pull Apart Aloha Rolls,$3.49,/12 Oz,https://www.traderjoes.com/home/products/pdp/sweet-pull-apart-aloha-rolls-058641,sweet pull apart aloha rolls
Cheese,Everything But the Pizza Whipped Cream Cheese Spread,$2.79,/8 Oz,https://www.traderjoes.com/home/products/pdp/everything-but-the-pizza-whipped-cream-cheese-spread-081648,everything pizza whipped cream cheese spread
Cheese,Mimolette Cheese,$7.49,/7.05 Oz,https://www.traderjoes.com/home/products/pdp/mimolette-cheese-080679,mimolette cheese
Cheese,Brie Cheese Flavored Spread,$3.49,/6 Oz,https://www.traderjoes.com/home/products/pdp/brie-cheese-flavored-spread-080463,brie cheese flavored spread
Cheese,Buffalo Blue Unexpected Cheddar Cheese Spread,$4.99,/9 Oz,https://www.traderjoes.com/home/products/pdp/buffalo-blue-unexpected-cheddar-cheese-spread-081651,buffalo blue unexpected cheddar cheese spread
Cheese,Jack of All Flavors,$7.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/jack-of-all-flavors-082298,jack all flavors
Cheese,Pumpkin Cream Cheese Spread,$2.79,/8 Oz,https://www.traderjoes.com/home/products/pdp/pumpkin-cream-cheese-spread-051533,pumpkin cream cheese spread
Cheese,Fresh Mozzarella Cheese Log,$6.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/fresh-mozzarella-cheese-log-061445,mozzarella cheese log
Cheese,Cambozola® Triple Cream Cheese,$13.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/cambozola-triple-cream-cheese-031883,cambozola® triple cream cheese
Cheese,Sharp Cheddar Cheese Cracker Cuts,$3.99,/10 Oz,https://www.traderjoes.com/home/products/pdp/sharp-cheddar-cheese-cracker-cuts-095426,sharp cheddar cheese cracker cuts
Cheese,Chevre with Fine Herbs,$3.29,/5 Oz,https://www.traderjoes.com/home/products/pdp/chevre-with-fine-herbs-088544,chevre with fine herbs
Cheese,Parmigiano Reggiano Stravecchio,$19.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/parmigiano-reggiano-stravecchio-086610,parmigiano reggiano stravecchio
Cheese,Double Cream Brie,$4.49,/8 Oz,https://www.traderjoes.com/home/products/pdp/double-cream-brie-079003,double cream brie
Cheese,Shredded Pepper Jack Cheese Blend,$3.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/shredded-pepper-jack-cheese-blend-093848,shredded pepper jack cheese blend
Cheese,Manchego Cheese,$14.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/manchego-cheese-033331,manchego cheese
Cheese,Cotswold Double Gloucester Cheese,$10.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/cotswold-double-gloucester-cheese-087175,cotswold double gloucester cheese
Cheese,Red Leicester Cheese,$4.99,/6.3 Oz,https://www.traderjoes.com/home/products/pdp/red-leicester-cheese-079569,red leicester cheese
Cheese,Caramelized Onion Goat's Milk Cheese,$2.99,/4 Oz,https://www.traderjoes.com/home/products/pdp/caramelized-onion-goats-milk-cheese-079153,onion goat milk cheese
Cheese,White Stilton Cheese with Apple & Pear,$12.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/white-stilton-cheese-with-apple-pear-079157,white stilton cheese with apple & pear
Cheese,Fresh Mozzarella Cheese Snackers,$3.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/fresh-mozzarella-cheese-snackers-070925,mozzarella cheese snackers
Cheese,String Cheese,$3.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/string-cheese-030337,string cheese
Cheese,Everything but the Bagel Cheddar Cheese,$4.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/everything-but-the-bagel-cheddar-cheese-078446,everything bagel cheddar cheese
Cheese,Shredded 3 Cheese Blend,$4.29,/12 Oz,https://www.traderjoes.com/home/products/pdp/shredded-3-cheese-blend-016541,cheese blend
Cheese,Finely Shredded Lite Mexican Style Cheese Blend,$3.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/finely-shredded-lite-mexican-style-cheese-blend-090748,shredded lite mexican style cheese blend
Cheese,Double Cream Brie,$8.49,/1 Lb,https://www.traderjoes.com/home/products/pdp/double-cream-brie-074953,double cream brie
Cheese,"Shaved Parmesan, Romano & Asiago Cheeses",$3.49,/5 Oz,https://www.traderjoes.com/home/products/pdp/shaved-parmesan-romano-asiago-cheeses-094175,parmesan
Cheese,Double Cream Gouda Cheese,$9.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/double-cream-gouda-cheese-096032,double cream gouda cheese
Cheese,Feta Cheese,$3.79,/8 Oz,https://www.traderjoes.com/home/products/pdp/feta-cheese-079858,feta cheese
Cheese,Whipped Cream Cheese,$2.49,/8 Oz,https://www.traderjoes.com/home/products/pdp/whipped-cream-cheese-012498,whipped cream cheese
Cheese,Cream Cheese,$1.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/cream-cheese-012491,cream cheese
Cheese,Shredded Mozzarella Cheese,$4.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/shredded-mozzarella-cheese-081085,shredded mozzarella cheese
