category,product_name,price,unit,url
Bakery,Whole Wheat English Muffins,$1.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/whole-wheat-english-muffins-014627
Bakery,Gluten Free Multigrain Bread,$4.99,/15.2 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-multigrain-bread-062146
Bakery,Gluten Free Madeleine Cookies,$3.49,/6.35 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-madeleine-cookies-074707
Bakery,BREAD CINNAMON RAISIN SLICED,$4.99,/18 Oz,https://www.traderjoes.com/home/products/pdp/bread-cinnamon-raisin-sliced-074781
Bakery,Pumpkin Streusel Muffins,$5.99,/14 Oz,https://www.traderjoes.com/home/products/pdp/pumpkin-streusel-muffins-074619
Bakery,Apple Cider Donuts,$4.99,/15.9 Oz,https://www.traderjoes.com/home/products/pdp/apple-cider-donuts-064320
Bakery,Cinnamon Coffee Cake,$5.99,/16 Oz,https://www.traderjoes.com/home/products/pdp/cinnamon-coffee-cake-094235
Bakery,Gluten Free White Sandwich Bread,$4.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-white-sandwich-bread-054292
Bakery,Classic Hamburger Buns,$2.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/classic-hamburger-buns-095317
Bakery,Brookie,$4.99,/11 Oz,https://www.traderjoes.com/home/products/pdp/brookie-061281
Bakery,Brioche Hot Dog Buns,$3.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/brioche-hot-dog-buns-066433
Bakery,Brioche Buns,$3.99,/9.45 Oz,https://www.traderjoes.com/home/products/pdp/brioche-buns-061752
Bakery,Sea Salt Brownie Bites,$2.99,/6 Oz,https://www.traderjoes.com/home/products/pdp/sea-salt-brownie-bites-074143
Bakery,Gluten Free Double Chocolate Muffins,$5.99,/14 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-double-chocolate-muffins-074110
Bakery,Gluten Free Almost Everything Bagels,$4.99,/14 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-almost-everything-bagels-063164
Bakery,Gluten Free Cinnamon Coffee Cake Muffins,$5.99,/14 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-cinnamon-coffee-cake-muffins-070524
Bakery,Pumpkin Bagels,$2.99,/18 Oz,https://www.traderjoes.com/home/products/pdp/pumpkin-bagels-056774
Bakery,Pumpkin Blondie Brownies,$4.99,/9 Oz,https://www.traderjoes.com/home/products/pdp/pumpkin-blondie-brownies-069342
Bakery,Holiday Round Challah,$4.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/holiday-round-challah-095377
Bakery,Gluten Free English Muffins,$4.49,/10.8 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-english-muffins-070453
Bakery,White Sliced Bread,$2.49,/22 Oz,https://www.traderjoes.com/home/products/pdp/white-sliced-bread-060500
Bakery,Vegan Banana Bread with Walnuts,$5.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/vegan-banana-bread-with-walnuts-063483
Bakery,Whole Wheat Sliced Bread,$2.49,/22 Oz,https://www.traderjoes.com/home/products/pdp/whole-wheat-sliced-bread-064220
Bakery,Organic French Baguette,$1.99,/11.5 Oz,https://www.traderjoes.com/home/products/pdp/organic-french-baguette-053835
Bakery,Madeleine Cookies,$2.99,/3.6 Oz,https://www.traderjoes.com/home/products/pdp/madeleine-cookies-035784
Bakery,Gluten Free Hamburger Buns,$4.99,/11.08 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-hamburger-buns-062144
Bakery,Garlic Indian Style Flatbread,$3.99,/18 Oz,https://www.traderjoes.com/home/products/pdp/garlic-indian-style-flatbread-092427
