title,category,url,image_url,serves,time,ingredients
Smoked Salmon & Cream Cheese Bagels,Breakfast,https://www.traderjoes.com/home/recipes/smoked-salmon-cream-cheese-bagels,https://www.traderjoes.com/content/dam/trjo/context-images/60442-wild-sockeye-smoked-salmon-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 15 mins,"[""4 of your favorite TJ's Bagels, sliced in half"", ""1 tub TJ's Whipped Cream Cheese"", ""1 package TJ's Wild Sockeye Smoked Salmon"", ""1/4 TJ's Red Onion, very thinly sliced"", ""2 TJ's Persian Cucumbers, thinly sliced"", ""TJ's Capers, drained"", ""A few sprigs TJ's Fresh Dill, for garnish"", ""1 TJ's Lemon, sliced into wedges""]"
Unexpected Fig Bites,Appetizers & Sides,https://www.traderjoes.com/home/recipes/unexpected-fig-bites,https://www.traderjoes.com/content/dam/trjo/context-images/73917-dried-fig-slices-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 1-2,Time 5 mins,"['1 bag TJ’s Freeze Dried Fig Slices', 'TJ’s Fig Butter', '¼ block TJ’s Unexpected Cheddar, sliced into bite-sized rectangles', 'TJ’s Fresh Thyme, to garnish']"
Double-Apple Oatmeal,Breakfast,https://www.traderjoes.com/home/recipes/double-apple-oatmeal,https://www.traderjoes.com/content/dam/trjo/context-images/42866-org-unfiltered-apple-juice-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 2,Time 20 mins,"['1 ½ cups TJ’s Organic Unfiltered Apple Juice', '1 cup TJ’s Rolled Oats', '4 tablespoons TJ’s Salted Butter', ""1 TJ's Apple (your favorite varietal), chopped into small cubes"", '1 teaspoon TJ’s Organic Ground Cinnamon', '1 tablespoon TJ’s Organic Cane Sugar']"
Sam’s Sweet Potato Soup,Lunch,https://www.traderjoes.com/home/recipes/sams-sweet-potato-soup,https://www.traderjoes.com/content/dam/trjo/context-images/92835-pearled-cous-cous-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 45 mins - 50 mins,"['2 tablespoons Avocado Oil', '1/2 Jumbo Yellow Onion, diced', '2 medium-sized Sweet Potatoes, peeled and cubed', ""1/2 cup TJ's Pearled Couscous"", ""6 cups TJ's Low Sodium Vegetable Broth"", ""2-3 teaspoons TJ's Taco Seasoning"", ""1/2 bag TJ's Organic Tuscan Kale"", ""TJ's Salt & Pepper, to taste"", 'Your favorite TJ’s crusty bread']"
Zhuzhed Up Ramen Cup,Lunch,https://www.traderjoes.com/home/recipes/zhuzhed-up-ramen-cup,https://www.traderjoes.com/content/dam/trjo/context-images/60411-miso-ramen-soup-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 1,Time 20 mins,"['1 TJ’s Large Egg', '1 teaspoon TJ’s Avocado Oil', '2 TJ’s Shiitake Mushrooms, sliced', '2 cups water', '1 TJ’s Miso Ramen Cup', '1 TJ’s Baby Bok Choy, sliced in half and roughly chopped', 'TJ’s Furikake, for sprinkling', '1 TJ’s Green Onion, thinly sliced']"
Cozy Tortellini Soup,"Appetizers & Sides, Dinner & Lunch",https://www.traderjoes.com/home/recipes/cozy-tortellini-soup,https://www.traderjoes.com/content/dam/trjo/context-images/95231-spinach-tortellini-2-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 30 mins,"['1 container TJ’s Mirepoix', '4 cloves TJ’s Garlic, smashed', '1 carton TJ’s Organic Free Range Chicken Broth', '1 cheese rind from a block of your favorite TJ’s Parmesan, optional', '2 cups TJ’s Spinach Tortellini', 'A few cranks of TJ’s Sea Salt', 'Grated TJ’s Parmesan, to serve', ""A handful of chopped TJ's Fresh Parsley, for ganish"", ""A drizzle of your favorite TJ's Extra Virgin Olive Oil""]"
Korean Hot Chicken-Inspired Pizza,Lunch & Dinner,https://www.traderjoes.com/home/recipes/korean-hot-chicken-inspired-pizza,https://www.traderjoes.com/content/dam/trjo/context-images/79548-yangnyeom-sauce-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 40 mins - 45 mins,"['1 TJ’s Pizza Dough, left to sit at room temperature for 20 minutes', ""TJ's Unbleached Enriched All-Purpose Flour, for dusting"", '½ cup TJ’s Yangnyeom Sauce, plus more for drizzling', '1 ½ cups TJ’s Shredded Pepper Jack Cheese', '1/2 package TJ’s Spicy Chicken Nuggets, sliced into thirds', 'TJ’s Cilantro, leaved plucked from the stems, to garnish']"
Baked Brie en Croûte,Appetizers & Sides,https://www.traderjoes.com/home/recipes/baked-brie-en-croute,https://www.traderjoes.com/content/dam/trjo/context-images/79003-dbl-cream-brie-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 2-4,Time 40 mins,"['1 wheel TJ’s Double Cream Brie', '1/3 cup TJ’s Walnuts, roughly chopped', '1 tablespoon TJ’s Fresh Thyme, destemmed and chopped', '1 tablespoon of your favorite TJ’s Honey, plus more for drizzling', '1 package TJ’s Organic Crescent Rolls', ""Your favorite TJ's crackers or a TJ's Organic Baguette, for serving""]"
Triangoletti Carbonara,Dinner,https://www.traderjoes.com/home/recipes/triangoletti-carbonara,https://www.traderjoes.com/content/dam/trjo/context-images/78105-org-triangoletti-pasta-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4-6,Time 30 mins,"['1/2 cup finely grated TJ’s Pecorino Romano Cheese, plus more for serving', '3 whole TJ’s Large Eggs, plus 2 yolks', 'A few heavy cranks of TJ’s Black Peppercorns, plus more for serving', '1 pound TJ’s Organic Spaghetti Triangoletti Pasta', '½ package TJ’s Uncured Apple Smoked Bacon, chopped into thin strips and cooked until crispy (ensure this step is complete before the pasta water comes to a boil)']"
Shrimp Scampizza,Lunch & Dinner,https://www.traderjoes.com/home/recipes/shrimp-scampizza,https://www.traderjoes.com/content/dam/trjo/context-images/74951-shrimp-scampi-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 45 mins - 50 mins,"['1 TJ’s Pizza Dough, left to sit at room temperature for 20 minutes', ""TJ's Unbleached Enriched All-Purpose Flour, for dusting"", '1 ½ cups shredded TJ’s Fontina Cheese', '1 package TJ’s Shrimp Scampi, prepared according to package instructions', '1 cup TJ’s Arugula', ""A drizzle of your favorite TJ's Extra Virgin Olive Oil"", '1 TJ’s Lemon, one half zested, the other half quartered and thinly sliced']"
Quick-Pickled Red Onions,Appetizers & Sides,https://www.traderjoes.com/home/recipes/quick-pickled-red-onions,https://www.traderjoes.com/content/dam/trjo/context-images/62234-org-raw-ACV-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 16,Time 30 mins,"['3/4 cup TJ’s Organic Raw Apple Cider Vinegar', '¼ cup water', '2 teaspoons TJ’s Organic Cane Sugar', '1 teaspoon TJ’s Sea Salt', ""1 teaspoons TJ's Rainbow Peppercorns"", '1 TJ’s Red Onion, thinly sliced']"
Mac-chos,Dinner & Lunch,https://www.traderjoes.com/home/recipes/mac-chos,https://www.traderjoes.com/content/dam/trjo/context-images/93848-shredded-papper-jack-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 1-2,Time 15 mins - 30 mins,"[""1 box TJ’s Joe's Diner Mac n' Cheese"", '½ cup TJ’s Pepper Jack Cheese Blend', '¼ cup crushed TJ’s Tortilla Chips', 'TJ’s Hot Pico de Gallo', '1 short stalk TJ’s Green Onions, chopped']"
Lemon Chicken Orzo Soup,Dinner & Lunch,https://www.traderjoes.com/home/recipes/lemon-chicken-orzo-soup,https://www.traderjoes.com/content/dam/trjo/context-images/61302-mediterranean-orzo-pasta-salad-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4-6,Time 15 mins,"[""2 cartons TJ's Organic Free Range Chicken Broth"", ""2 tubs TJ's Mediterranean Style Orzo Pasta Salad"", ""1 package TJ's Lemon Pepper Grilled Chicken, sliced into bite-sized pieces"", ""1 TJ's Lemon, sliced into wedges""]"
Organic Coconut Raspberry Chia Pudding,Breakfast & Desserts,https://www.traderjoes.com/home/recipes/organic-coconut-raspberry-chia-pudding,https://www.traderjoes.com/content/dam/trjo/context-images/77815-org-non-dairy-unsweetened-coconut-bev-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 1,Time 3 h 5 mins,"['1 cup TJ’s Organic Non-Dairy Unsweetened Coconut Beverage', '¼ cup TJ’s Organic Chia Seeds', '2-4 tablespoons TJ’s Organic Blue Agave Syrup', '¼ cup TJ’s Organic Raspberries']"
Sufganiyot (Jelly Donuts),Desserts,https://www.traderjoes.com/home/recipes/sufganiyot-jelly-donuts,https://www.traderjoes.com/content/dam/trjo/context-images/59227-org-powdered-sugar-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 12,Time 2 h - 2 h 30 mins,"[""1/2 cup TJ's Milk, heated to 110-115°F"", ""1/4 cup TJ's Organic Powdered Cane Sugar, plus more for dusting"", '1/2 tablespoon SAF Active Dry Perfect Rise Yeast', ""1 3/4 cup TJ's Unbleached Enriched All-Purpose Flour, plus more for dusting"", ""1/4 teaspoon TJ's Sea Salt"", ""1 TJ's Large Egg"", ""1/2 teaspoon TJ's Organic Pure Bourbon Vanilla Extract"", ""1 1/2 tablespoons TJ's Unsalted Butter, melted"", ""1 bottle TJ's Canola Oil"", ""3/4 cup of your favorite filling! Try TJ's Strawberry or Raspberry Preserves, TJ's Cocoa Almond Spread, or TJ's Lemon Curd"", 'Special tool: Piping bag or squeeze bottle']"
